CREDIT_REQUEST_ID,CREDIT_AMOUNT,CREDIT_DURATION,PURPOSE,INSTALLMENT_COMMITMENT,OTHER_PARTIES,CREDIT_STANDING,CREDIT_SCORE,CHECKING_BALANCE,SAVINGS_BALANCE,EXISTING_CREDITS,ASSETS,HOUSING,QUALIFICATION,JOB_HISTORY,AGE,SEX,MARITAL_STATUS,NUM_DEPENDENTS,RESIDENCE_SINCE,OTHER_PAYMENT_PLANS
147,8600,6,Vehicle,1,None,good,466,-728.12,17.00,2,None,own,skilled,15,39,F,Married,1,4,none
248,12040,6,Vehicle,4,None,good,202,0.00,2443.00,1,None,rent,skilled,1,35,M,Single,1,1,bank
112,3920,15,Tuition,4,None,good,736,4696.00,143.00,1,Investments,rent,skilled,1,23,F,Married,1,4,none
222,12000,12,Tuition,4,None,good,732,-25.35,0.00,1,Investments,rent,skilled,3,23,F,Married,1,4,bank
162,10550,18,Vehicle,4,None,good,507,0.00,510.00,2,Investments,own,skilled,1,30,F,Married,1,1,none
71,81330,36,Vehicle,1,None,good,670,0.00,268.00,1,Investments,own,skilled,2,30,F,Married,1,2,bank
165,9090,36,Vehicle,4,None,good,704,0.00,9353.54,1,Investments,own,skilled,16,36,M,Single,1,4,none
24,18040,12,Vehicle,3,None,good,352,242.00,1830.00,1,Investments,own,skilled,1,44,M,Single,1,4,none
210,14130,12,Vehicle,3,None,good,739,0.00,14238.00,1,Investments,own,skilled,5,55,M,Single,1,2,none
126,21210,12,Vehicle,4,None,good,417,-280.75,185.00,2,Investments,own,skilled,2,30,M,Single,1,2,none
54,33780,18,Vehicle,2,None,good,693,0.00,0.00,1,Investments,own,skilled,1,31,M,Single,1,1,none
217,31040,18,Business,3,None,good,200,-717.33,90.00,1,Investments,own,skilled,5,31,M,Single,1,1,bank
105,24450,12,Vehicle,2,None,good,684,0.00,0.00,1,Vehicle,rent,skilled,1,26,M,Married,1,4,none
44,61870,30,Vehicle,1,None,good,452,-484.50,1399.00,2,Vehicle,rent,skilled,4,24,M,Married,1,4,none
111,14490,6,Business,1,None,good,627,64.00,2557.00,2,Vehicle,own,skilled,10,31,M,Divorced,2,2,bank
97,20120,12,Tuition,4,None,good,517,0.00,0.00,1,Vehicle,own,skilled,5,61,F,Married,1,2,none
148,6820,12,Vehicle,4,None,good,323,0.00,4030.00,2,Vehicle,own,skilled,5,51,F,Married,1,3,none
131,84870,48,Vehicle,1,None,good,671,1396.00,0.00,1,Vehicle,own,skilled,4,24,F,Married,1,2,none
15,14030,15,Vehicle,2,None,good,734,-634.97,124.00,1,Vehicle,rent,skilled,3,28,F,Married,1,4,none
220,13640,10,Vehicle,2,None,good,685,0.00,436.00,1,Vehicle,own,skilled,1,64,F,Married,1,4,none
201,9360,9,Tuition,4,None,good,410,0.00,6650.89,2,Vehicle,own,skilled,14,52,M,Single,1,2,none
37,61100,48,Tuition,1,None,good,351,0.00,261.00,1,None,free,skilled,1,31,M,Single,1,3,bank
124,7810,10,Vehicle,4,None,good,444,4198.00,793.00,2,None,free,skilled,10,63,M,Single,1,4,none
199,27600,24,Vehicle,4,None,good,698,1661.00,0.00,1,None,free,skilled,14,36,M,Single,1,4,bank
159,35120,24,Vehicle,2,None,good,692,1486.00,3652.00,2,Vehicle,own,skilled,4,38,M,Single,1,3,bank
108,60780,12,Vehicle,2,None,good,677,1238.00,960.00,1,Vehicle,own,skilled,5,32,M,Single,1,2,none
137,86130,27,Vehicle,2,None,good,587,0.00,13073.00,2,Vehicle,own,skilled,2,27,M,Single,1,2,none
33,58660,18,Vehicle,2,None,good,674,1364.00,2089.00,2,Vehicle,own,skilled,2,30,M,Single,1,2,none
21,21340,9,Vehicle,4,None,good,513,0.00,678.00,3,Vehicle,own,skilled,1,48,M,Single,1,4,none
