station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
37950,99999,1929,12,5,48.700000762939453,4,45.5,4,992.29998779296875,4,,,5.5999999046325684,4,23.899999618530273,4,29.899999618530273,,48.0,false,,,,,false,false,false,false,false,false
31590,99999,1929,10,2,50.200000762939453,4,46.299999237060547,4,987.0,4,,,12.399999618530273,4,24.399999618530273,4,36.900001525878906,,46.0,false,,,,,false,false,false,false,false,false
38640,99999,1929,10,1,55.0,4,44.700000762939453,4,1015.2999877929688,4,,,9.3000001907348633,4,7.1999998092651367,4,13.0,,46.0,false,,,,,false,false,false,false,false,false
38110,99999,1929,12,8,48.700000762939453,4,41.700000762939453,4,993.9000244140625,4,,,4.0,4,42.400001525878906,4,52.099998474121094,,45.0,false,,,,,false,false,false,false,false,false
30050,99999,1929,12,27,42.5,4,37.700000762939453,4,991.20001220703125,4,,,7.8000001907348633,4,5.4000000953674316,4,8.8999996185302734,,33.099998474121094,false,,,,,false,false,false,false,false,false
38110,99999,1929,10,4,53.299999237060547,4,43.5,4,1008.7000122070312,4,,,12.399999618530273,4,8.8999996185302734,4,8.8999996185302734,,48.900001525878906,false,,,0.0,,false,false,false,false,false,false
38560,99999,1929,10,20,52.0,4,42.299999237060547,4,995.5,4,,,9.3000001907348633,4,15.0,4,23.899999618530273,,46.0,false,,,0.0,,false,false,false,false,false,false
30910,99999,1929,10,4,43.799999237060547,4,,,1002.7000122070312,4,,,9.8999996185302734,4,8.1999998092651367,4,13.0,,41.0,false,,,0.0,,false,false,false,false,false,false
38940,99999,1929,11,11,50.799999237060547,4,48.0,4,1016.2999877929688,4,,,5.0999999046325684,4,14.5,4,18.100000381469727,,43.0,false,,,,,false,false,false,false,false,false
38640,99999,1929,11,1,44.700000762939453,4,37.700000762939453,4,1029.4000244140625,4,,,4.6999998092651367,4,6.0,4,8.8999996185302734,,35.099998474121094,false,,,0.0,,false,false,false,false,false,false
38640,99999,1929,11,12,46.5,4,40.5,4,995.4000244140625,4,,,14.300000190734863,4,16.899999618530273,4,36.900001525878906,,41.0,false,,,,,false,false,false,false,false,false
38640,99999,1929,11,19,51.799999237060547,4,46.700000762939453,4,1006.7000122070312,4,,,5.3000001907348633,4,26.899999618530273,4,29.899999618530273,,44.099998474121094,false,,,,,false,false,false,false,false,false
39730,99999,1929,11,28,48.5,4,46.0,4,991.79998779296875,4,,,4.3000001907348633,4,2.7000000476837158,4,8.8999996185302734,,45.0,false,,,,,false,false,false,false,false,false
33790,99999,1929,12,17,33.299999237060547,4,31.0,4,1039.5,4,,,0.5,4,8.8999996185302734,4,8.8999996185302734,,30.0,false,,,0.0,,true,true,true,true,true,true
38640,99999,1929,12,24,46.299999237060547,4,40.5,4,995.0,4,,,7.8000001907348633,4,14.5,4,18.100000381469727,,43.0,false,,,,,false,false,false,false,false,false
38940,99999,1929,11,17,45.5,4,38.5,4,1008.0,4,,,5.0,4,3.7999999523162842,4,5.0999999046325684,,41.0,false,,,0.0,,false,false,false,false,false,false
33790,99999,1929,8,12,58.299999237060547,4,50.799999237060547,4,1021.2999877929688,4,,,4.3000001907348633,4,9.0,4,13.0,,50.0,false,,,0.0,,false,false,false,false,false,false
34970,99999,1929,11,13,35.599998474121094,5,33.200000762939453,4,997.4000244140625,5,,,1.5,5,5.0999999046325684,5,5.0999999046325684,,32.0,false,,,0.0,,false,false,false,false,false,false
39530,99999,1929,12,8,43.799999237060547,5,39.5,4,984.0999755859375,5,,,6.1999998092651367,5,22.0,5,29.899999618530273,,41.0,false,,,0.11999999731779099,,false,false,false,false,false,false
34970,99999,1929,11,21,46.599998474121094,5,45.299999237060547,4,1006.7000122070312,5,,,2.5,5,7.5999999046325684,5,13.0,,43.0,false,,,0.0099999997764825821,,false,false,false,false,false,false
38040,99999,1929,12,5,51.0,5,43.0,4,978.0999755859375,5,,,7.0,5,37.099998474121094,5,52.099998474121094,,48.0,false,,,0.43000000715255737,,false,false,false,false,false,false
38040,99999,1929,12,23,47.400001525878906,5,45.5,4,984.9000244140625,5,,,6.1999998092651367,5,15.600000381469727,5,23.899999618530273,,42.099998474121094,false,,,0.079999998211860657,,false,false,false,false,false,false
38040,99999,1929,12,8,48.0,5,42.5,4,992.0,5,,,4.6999998092651367,5,44.400001525878906,5,52.099998474121094,,46.0,false,,,0.31000000238418579,,false,false,false,false,false,false
32620,99999,1930,8,20,55.299999237060547,4,49.200000762939453,4,1012.5,4,,,3.4000000953674316,4,6.0,4,8.8999996185302734,,51.099998474121094,false,,,0.0,,false,false,false,false,false,false
31590,99999,1930,7,22,52.700000762939453,4,47.5,4,1011.0,4,,,10.899999618530273,4,7.0,4,8.8999996185302734,,48.900001525878906,false,,,,,false,false,false,false,false,false
38110,99999,1930,7,8,61.5,4,57.799999237060547,4,1026.699951171875,4,,,9.3000001907348633,4,8.0,4,8.8999996185302734,,55.0,false,,,,,false,false,false,false,false,false
34970,99999,1930,12,9,37.799999237060547,4,,,1003.2000122070312,4,,,2.2000000476837158,4,2.2000000476837158,4,5.0999999046325684,,36.0,false,,,0.019999999552965164,,false,false,false,false,false,false
37770,99999,1930,5,17,55.799999237060547,4,46.700000762939453,4,1021.4000244140625,4,,,4.3000001907348633,4,8.1999998092651367,4,13.0,,48.900001525878906,false,,,0.0,,false,false,false,false,false,false
38640,99999,1930,12,12,47.0,4,42.0,4,,,,,6.1999998092651367,4,10.0,4,13.0,,44.099998474121094,false,,,0.0,,false,false,false,false,false,false
38110,99999,1930,7,16,59.5,4,53.299999237060547,4,,,,,10.899999618530273,4,20.200000762939453,4,23.899999618530273,,55.900001525878906,false,,,0.0,,false,false,false,false,false,false
39800,99999,1930,5,4,48.200000762939453,4,45.700000762939453,4,1018.2999877929688,4,,,5.0,4,5.5,4,13.0,,45.0,false,,,0.0,,false,false,false,false,false,false
39730,99999,1930,8,2,58.200000762939453,4,56.299999237060547,4,990.0,4,,,6.5,4,9.0,4,13.0,,55.0,false,,,,,false,false,false,false,false,false
39730,99999,1930,12,27,46.5,4,,,,,,,,,36.900001525878906,4,43.900001525878906,,43.0,true,,,,,false,false,false,false,false,false
33960,99999,1930,12,5,34.200000762939453,4,33.299999237060547,4,1022.4000244140625,4,,,0.5,4,2.2000000476837158,4,5.0999999046325684,,33.099998474121094,true,,,0.0,,true,true,true,true,true,true
