session_id,session_duration_seconds,pages_viewed,items_in_cart,cart_total_value,unique_categories_viewed,has_discount_code,is_returning_customer,device_type,traffic_source,hour_of_day,day_of_week,previous_purchases_count,avg_time_per_page_seconds,added_to_wishlist,used_search,converted
CART_00001,1536,22,1,136.52,3,1,0,mobile,organic,6,1,0,69.82,0,1,0
CART_00002,1677,9,2,178.24,1,0,1,desktop,direct,8,1,13,186.33,1,1,1
CART_00003,1672,9,1,71.75,1,0,0,mobile,organic,12,0,0,185.78,0,0,0
CART_00004,1374,2,2,262.51,2,0,0,desktop,email,3,3,0,687.0,0,0,1
CART_00005,1419,30,1,59.05,3,1,0,mobile,organic,7,1,0,47.3,0,1,0
CART_00006,489,2,1,141.77,1,0,1,desktop,organic,18,5,41,244.5,0,1,1
CART_00007,1545,8,2,117.41,4,0,0,mobile,email,18,3,0,193.12,0,1,0
CART_00008,1305,5,3,471.25,2,0,0,mobile,paid,12,4,0,261.0,0,1,0
CART_00009,1119,22,1,133.92,3,0,0,tablet,email,5,3,0,50.86,0,1,1
CART_00010,1300,4,3,296.3,3,0,0,desktop,email,11,6,0,325.0,0,1,1
CART_00011,763,4,2,191.24,3,1,0,tablet,email,2,0,0,190.75,0,0,0
CART_00012,358,18,1,123.86,3,0,0,tablet,paid,17,6,0,19.89,0,0,0
CART_00013,267,15,1,163.44,2,1,1,mobile,direct,7,4,20,17.8,0,0,1
CART_00014,507,17,1,69.52,3,0,1,mobile,organic,18,4,41,29.82,1,1,1
CART_00015,861,14,1,86.12,3,0,0,desktop,organic,20,0,0,61.5,1,0,0
CART_00016,884,5,1,103.49,2,0,0,desktop,organic,14,6,0,176.8,0,0,0
CART_00017,1563,30,4,699.54,2,1,0,mobile,email,12,0,0,52.1,0,1,1
CART_00018,1624,24,2,169.59,4,0,1,mobile,direct,6,0,25,67.67,0,1,1
CART_00019,1107,28,2,195.94,2,1,0,desktop,organic,2,4,0,39.54,0,0,1
CART_00020,1288,2,2,221.04,1,0,0,mobile,email,8,1,0,644.0,0,1,0
CART_00021,168,25,1,67.17,1,0,1,mobile,direct,2,4,17,6.72,0,0,1
CART_00022,1132,27,1,41.03,3,0,1,desktop,email,16,0,23,41.93,0,0,0
CART_00023,239,29,4,234.55,6,0,0,tablet,organic,22,2,0,8.24,0,0,1
CART_00024,1319,3,5,773.04,4,0,0,mobile,paid,4,5,0,439.67,1,1,0
CART_00025,1435,29,1,27.42,2,0,1,desktop,paid,4,3,29,49.48,0,0,1
CART_00026,1166,25,1,31.96,3,0,1,desktop,organic,7,6,3,46.64,0,0,1
CART_00027,863,26,1,167.54,3,0,0,mobile,paid,22,0,0,33.19,0,1,0
CART_00028,486,26,2,130.71,2,1,1,mobile,direct,2,6,31,18.69,1,1,1
CART_00029,554,4,2,339.95,2,0,0,mobile,email,19,3,0,138.5,0,1,1
CART_00030,541,7,1,163.42,1,0,0,mobile,email,17,5,0,77.29,1,0,0
CART_00031,1296,11,1,124.6,3,0,0,desktop,organic,16,2,0,117.82,1,0,0
CART_00032,1552,22,2,340.32,2,0,1,mobile,organic,0,2,45,70.55,0,1,1
CART_00033,1066,7,2,175.91,4,0,0,desktop,direct,21,0,0,152.29,0,0,0
CART_00034,480,10,6,322.52,2,1,0,desktop,organic,19,6,0,48.0,1,0,0
CART_00035,519,13,3,235.07,2,0,0,desktop,paid,3,6,0,39.92,1,0,0
CART_00036,293,15,1,154.98,3,0,1,mobile,organic,14,4,45,19.53,0,0,0
CART_00037,992,28,2,82.52,4,0,0,mobile,email,16,3,0,35.43,0,0,0
CART_00038,303,3,1,162.35,2,1,1,desktop,organic,2,3,5,101.0,0,0,1
CART_00039,1444,19,2,328.6,1,0,0,mobile,organic,0,2,0,76.0,0,1,0
CART_00040,469,16,3,489.42,3,0,1,mobile,direct,21,6,27,29.31,1,1,1
CART_00041,1175,19,2,329.29,4,1,1,tablet,email,14,1,30,61.84,0,1,1
CART_00042,883,27,4,243.65,3,0,1,mobile,organic,1,2,14,32.7,0,0,1
CART_00043,332,20,1,153.47,2,1,1,mobile,organic,6,3,42,16.6,0,0,1
CART_00044,355,27,3,101.69,3,1,0,mobile,paid,21,3,0,13.15,1,1,0
CART_00045,637,25,2,63.63,4,0,0,mobile,direct,1,2,0,25.48,1,0,0
CART_00046,236,16,1,84.31,3,0,0,mobile,paid,22,1,0,14.75,0,0,0
CART_00047,972,16,4,415.19,4,0,0,tablet,organic,7,6,0,60.75,0,1,0
CART_00048,1032,1,2,155.07,3,1,1,mobile,paid,10,2,29,1032.0,1,0,0
CART_00049,852,24,6,174.76,4,0,0,mobile,organic,22,3,0,35.5,0,1,0
CART_00050,1153,16,1,110.96,3,0,1,mobile,direct,11,5,19,72.06,0,0,1
CART_00051,1433,25,1,103.42,2,1,1,mobile,organic,18,6,15,57.32,0,1,1
CART_00052,1113,23,1,64.87,2,0,1,desktop,organic,22,1,7,48.39,0,0,0
CART_00053,397,11,1,93.99,1,0,0,mobile,organic,2,3,0,36.09,0,1,0
CART_00054,528,3,4,686.42,1,0,0,desktop,organic,19,1,0,176.0,0,0,0
CART_00055,1268,2,2,217.65,4,1,1,mobile,paid,8,5,29,634.0,0,0,1
CART_00056,86,10,2,225.96,2,0,1,mobile,organic,2,5,36,8.6,0,0,1
CART_00057,1346,8,1,33.94,2,0,1,desktop,direct,5,6,41,168.25,0,1,1
CART_00058,844,23,1,128.63,3,0,0,desktop,organic,1,3,0,36.7,0,1,0
CART_00059,62,19,3,470.96,5,0,0,mobile,organic,5,3,0,3.26,0,0,0
CART_00060,982,3,2,298.7,3,0,0,mobile,email,5,2,0,327.33,0,1,0
CART_00061,664,3,3,63.17,3,0,0,desktop,paid,16,6,0,221.33,0,1,0
CART_00062,1040,25,1,74.69,3,0,0,mobile,paid,4,2,0,41.6,1,1,0
CART_00063,656,6,2,108.97,4,1,0,mobile,email,3,3,0,109.33,0,1,0
CART_00064,1729,14,1,131.39,3,0,0,mobile,email,12,1,0,123.5,0,0,0
CART_00065,716,14,1,145.35,3,0,0,desktop,email,18,4,0,51.14,1,0,0
CART_00066,792,18,1,106.07,3,0,0,mobile,paid,7,4,0,44.0,0,0,0
CART_00067,810,13,2,331.43,4,0,0,mobile,organic,1,1,0,62.31,0,1,0
CART_00068,51,15,2,203.56,4,1,0,desktop,email,2,3,0,3.4,0,0,0
CART_00069,1112,28,4,622.55,4,0,1,desktop,paid,15,6,40,39.71,0,0,0
CART_00070,908,3,1,52.54,1,0,0,mobile,direct,5,5,0,302.67,0,1,0
CART_00071,863,17,1,39.02,3,0,1,desktop,organic,19,6,21,50.76,1,1,1
CART_00072,542,15,1,120.25,3,1,0,mobile,paid,21,4,0,36.13,0,0,1
CART_00073,955,9,2,170.02,3,1,0,mobile,paid,7,3,0,106.11,0,1,0
CART_00074,36,9,7,865.26,5,0,0,tablet,organic,19,5,0,4.0,0,0,0
CART_00075,409,21,2,146.27,4,0,0,mobile,direct,21,6,0,19.48,0,0,1
CART_00076,289,24,2,221.26,1,0,1,desktop,organic,6,1,41,12.04,0,1,0
CART_00077,1708,30,1,42.15,3,0,0,mobile,paid,3,3,0,56.93,0,0,0
CART_00078,1161,26,7,1222.2,3,1,1,desktop,direct,3,3,15,44.65,0,1,1
CART_00079,498,22,2,152.59,4,1,0,mobile,organic,19,1,0,22.64,0,0,0
CART_00080,96,2,2,68.5,3,0,0,mobile,direct,17,1,0,48.0,1,1,0
CART_00081,869,29,2,269.78,4,1,1,desktop,paid,8,0,48,29.97,0,1,0
CART_00082,1340,18,1,128.14,3,1,1,tablet,email,14,0,29,74.44,0,0,1
