order_id,order_total,num_items,item_price,discount_applied_percent,shipping_days,product_category,product_avg_rating,customer_past_order_count,customer_past_return_rate,customer_tenure_days,payment_method,is_first_purchase,used_size_guide,promo_used,weekend_order,returned
ORD_00001,75.62,2,37.81,0,2,Books,4.0,12,0.354,96,credit_card,0,0,0,1,0
ORD_00002,220.51,1,245.01,10,4,Clothing,3.8,1,0.455,357,paypal,0,1,1,1,0
ORD_00003,118.55,1,118.55,0,5,Home,4.4,69,0.075,806,credit_card,0,0,0,1,0
ORD_00004,1756.28,4,439.07,0,2,Sports,4.3,30,0.52,809,credit_card,0,0,0,0,1
ORD_00005,257.73,1,257.73,0,7,Sports,3.8,0,0.0,23,credit_card,1,0,0,0,0
ORD_00006,4141.45,5,828.29,0,3,Books,2.2,41,0.241,166,credit_card,0,0,0,0,0
ORD_00007,749.82,1,789.28,5,6,Electronics,2.8,0,0.0,17,paypal,1,0,0,0,0
ORD_00008,439.5,2,439.5,50,2,Home,4.3,20,0.376,1653,paypal,0,0,1,0,1
ORD_00009,1131.84,2,565.92,0,4,Toys,4.0,0,0.0,28,paypal,1,0,0,1,0
ORD_00010,499.93,1,526.24,5,7,Beauty,2.8,23,0.305,248,apple_pay,0,0,0,1,0
ORD_00011,304.29,2,190.18,20,4,Books,3.6,0,0.0,10,credit_card,1,0,1,1,0
ORD_00012,6787.76,7,969.68,0,2,Home,2.2,9,0.587,1121,debit_card,0,0,0,1,1
ORD_00013,485.92,2,323.95,25,3,Clothing,3.6,26,0.428,848,gift_card,0,0,1,0,1
ORD_00014,275.84,1,275.84,0,4,Clothing,2.7,0,0.0,20,credit_card,1,1,0,1,1
ORD_00015,645.89,2,339.94,5,4,Sports,4.6,32,0.471,1684,credit_card,0,0,0,1,0
ORD_00016,373.52,1,498.03,25,2,Sports,3.9,0,0.0,23,credit_card,1,0,1,0,0
ORD_00017,515.61,1,542.75,5,3,Clothing,4.8,71,0.059,1366,gift_card,0,0,0,0,0
ORD_00018,783.71,4,206.24,5,2,Electronics,2.2,50,0.159,1636,debit_card,0,0,0,1,0
ORD_00019,2401.51,3,941.77,15,3,Clothing,2.7,0,0.0,23,paypal,1,0,1,1,0
ORD_00020,2048.88,2,1024.44,0,7,Clothing,2.6,31,0.242,1197,credit_card,0,0,0,0,1
ORD_00021,883.62,2,631.16,30,2,Sports,2.7,39,0.274,1570,apple_pay,0,0,1,1,0
ORD_00022,228.92,2,127.18,10,4,Clothing,3.0,0,0.0,7,credit_card,1,1,1,0,0
ORD_00023,2014.13,2,1184.78,15,1,Books,2.9,18,0.159,250,debit_card,0,0,1,1,0
ORD_00024,354.2,1,416.71,15,6,Home,2.8,7,0.055,898,debit_card,0,0,1,1,0
ORD_00025,1175.92,1,1175.92,0,3,Sports,3.7,0,0.0,30,apple_pay,1,0,0,0,0
ORD_00026,2809.4,4,702.35,0,2,Electronics,4.7,6,0.539,461,paypal,0,0,0,0,1
ORD_00027,1260.79,2,1050.66,40,5,Beauty,2.7,0,0.0,25,debit_card,1,0,1,0,1
ORD_00028,848.34,3,403.97,30,5,Beauty,4.4,0,0.0,25,debit_card,1,0,1,0,1
ORD_00029,368.83,2,245.89,25,3,Books,4.6,0,0.0,21,credit_card,1,0,1,0,0
ORD_00030,1839.89,6,340.72,10,3,Toys,3.6,15,0.526,565,credit_card,0,0,1,0,1
ORD_00031,447.1,1,526.0,15,3,Home,3.5,74,0.114,121,debit_card,0,0,1,1,0
ORD_00032,1471.45,2,865.56,15,4,Electronics,2.2,43,0.374,1389,debit_card,0,0,1,0,1
ORD_00033,470.06,1,494.8,5,3,Clothing,3.3,23,0.369,647,credit_card,0,0,0,0,1
ORD_00034,2193.42,3,731.14,0,3,Sports,3.5,22,0.395,612,paypal,0,0,0,0,1
ORD_00035,3071.42,4,903.36,15,2,Clothing,2.1,0,0.0,15,paypal,1,0,1,0,0
ORD_00036,1642.11,2,864.27,5,3,Clothing,4.1,14,0.467,479,credit_card,0,0,0,0,1
ORD_00037,968.26,1,1019.22,5,5,Sports,5.0,57,0.368,1504,apple_pay,0,0,0,0,0
ORD_00038,296.58,2,197.72,25,3,Books,4.5,0,0.0,24,paypal,1,0,1,0,0
ORD_00039,348.59,1,348.59,0,3,Home,2.4,0,0.0,22,credit_card,1,0,0,1,0
ORD_00040,563.38,1,563.38,0,5,Electronics,4.3,3,0.514,1598,paypal,0,0,0,0,0
ORD_00041,354.64,1,472.86,25,5,Home,4.2,29,0.293,589,credit_card,0,0,1,1,0
ORD_00042,1469.85,3,489.95,0,3,Clothing,3.9,0,0.0,12,paypal,1,0,0,1,1
ORD_00043,898.48,4,224.62,0,3,Electronics,3.0,36,0.451,1734,credit_card,0,0,0,0,1
ORD_00044,147.19,3,70.09,30,2,Clothing,4.9,0,0.0,0,apple_pay,1,1,1,1,1
ORD_00045,725.39,1,805.99,10,2,Sports,4.3,0,0.0,19,gift_card,1,0,1,0,0
ORD_00046,340.88,1,378.76,10,6,Home,4.7,26,0.046,1445,debit_card,0,0,1,1,0
ORD_00047,658.91,1,823.64,20,5,Home,2.1,48,0.041,1357,credit_card,0,0,1,0,0
ORD_00048,1037.93,1,1153.26,10,5,Sports,3.3,35,0.37,1133,debit_card,0,0,1,0,0
ORD_00049,784.38,2,392.19,0,7,Clothing,3.4,73,0.366,807,credit_card,0,0,0,0,1
ORD_00050,315.96,1,315.96,0,4,Beauty,3.7,25,0.051,1505,credit_card,0,0,0,0,1
